  Variable     Value    Variable     Value  
     S( 1)  13.00000      SP( 1)  0.000000  
     S( 2)  13.00000      SP( 2)  0.000000  
     S( 3)  13.00000      SP( 3)  0.000000  
     S( 4)  13.00000      SP( 4)  0.000000  
     S( 5)  13.00000      SP( 5)  3.000000  
     S( 6)  16.00000      SP( 6)  0.000000  
     S( 7)  16.00000      SP( 7)  0.000000  
     S( 8)  16.00000      SP( 8)  0.000000  
     S( 9)  16.00000      SP( 9)  0.000000  
     H( 1)  50.00000      HP( 1)  0.000000  
     H( 2)  50.00000      HP( 2)  14.00000  
     H( 3)  64.00000      HP( 3)  0.000000  
     H( 4)  64.00000      HP( 4)  0.000000  
     H( 5)  64.00000      HP( 5)  28.00000  
     H( 6)  92.00000      HP( 6)  0.000000  
     H( 7)  92.00000      HP( 7)  0.000000  
     H( 8)  92.00000      HP( 8)  0.000000  
     H( 9)  92.00000      HP( 9)  0.000000  

    SM( 1)  13.00000      SU( 1)  0.000000  
    SM( 2)  2.000000      SU( 2)  11.00000  
    SM( 3)  8.000000      SU( 3)  5.000000  
    SM( 4)  9.000000      SU( 4)  4.000000  
    SM( 5)  6.000000      SU( 5)  7.000000  
    SM( 6)  0.000000      SU( 6)  16.00000  
    SM( 7)  10.00000      SU( 7)  6.000000  
    SM( 8)  11.00000      SU( 8)  5.000000  
    SM( 9)  9.000000      SU( 9)  7.000000  
    HM( 1)  50.00000      HU( 1)  0.000000  
    HM( 2)  4.000000      HU( 2)  44.00000  
    HM( 3)  44.00000      HU( 3)  20.00000  
    HM( 4)  48.00000      HU( 4)  16.00000  
    HM( 5)  33.00000      HU( 5)  28.00000  
    HM( 6)  28.00000      HU( 6)  64.00000  
    HM( 7)  68.00000      HU( 7)  24.00000  
    HM( 8)  72.00000      HU( 8)  20.00000  
    HM( 9)  64.00000      HU( 9)  28.00000  

    HT( 1)  0.000000       P( 1)  380.0000  
    HT( 2)  2.000000       P( 2)  1600.000  
    HT( 3)  0.000000       P( 3)  300.0000  
    HT( 4)  0.000000       P( 4)  330.0000  
    HT( 5)  3.000000       P( 5)  3935.000  
    HT( 6)  0.000000       P( 6)  140.0000  
    HT( 7)  0.000000       P( 7)  440.0000  
    HT( 8)  0.000000       P( 8)  470.0000  
    HT( 9)  0.000000       P( 9)  410.0000  
