  Variable           Value    Variable           Value  
     S( 1)        13.00000      SP( 1)        0.000000  
     S( 2)        13.00000      SP( 2)        0.000000  
     S( 3)        11.00000      SP( 3)        0.000000  
     S( 4)        10.00000      SP( 4)        0.000000  
     S( 5)        9.000000      SP( 5)        8.000000  
     S( 6)        16.00000      SP( 6)        0.000000  
     S( 7)        13.00000      SP( 7)        0.000000  
     S( 8)        12.00000      SP( 8)        0.000000  
     S( 9)        11.00000      SP( 9)        3.000000  
    S( 10)        13.00000     SP( 10)        0.000000  
    S( 11)        10.00000     SP( 11)        0.000000  
    S( 12)        9.000000     SP( 12)        0.000000  
    S( 13)        8.000000     SP( 13)        5.000000  
    S( 14)        12.00000     SP( 14)        0.000000  
    S( 15)        10.00000     SP( 15)        0.000000  
    S( 16)        9.000000     SP( 16)        0.000000  
    S( 17)        8.000000     SP( 17)        2.000000  
    S( 18)        9.000000     SP( 18)        0.000000  
    S( 19)        7.000000     SP( 19)        0.000000  
    S( 20)        6.000000     SP( 20)        6.000000  
    S( 21)        11.00000     SP( 21)        20.00000  
    S( 22)        29.00000     SP( 22)        0.000000  
    S( 23)        23.00000     SP( 23)        0.000000  
    S( 24)        19.00000     SP( 24)        4.000000  
    S( 25)        20.00000     SP( 25)        11.00000  
    S( 26)        27.00000     SP( 26)        0.000000  
    S( 27)        22.00000     SP( 27)        0.000000  
    S( 28)        19.00000     SP( 28)        0.000000  
    S( 29)        17.00000     SP( 29)        1.000000  
    S( 30)        16.00000     SP( 30)        0.000000  
    S( 31)        13.00000     SP( 31)        0.000000  
    S( 32)        12.00000     SP( 32)        0.000000  
    S( 33)        11.00000     SP( 33)        1.000000  
    S( 34)        11.00000     SP( 34)        0.000000  
    S( 35)        9.000000     SP( 35)        0.000000  
    S( 36)        8.000000     SP( 36)        0.000000  
    S( 37)        7.000000     SP( 37)        6.000000  
    S( 38)        12.00000     SP( 38)        0.000000  
    S( 39)        10.00000     SP( 39)        0.000000  
    S( 40)        9.000000     SP( 40)        2.000000  
    S( 41)        10.00000     SP( 41)        7.000000  
    S( 42)        15.00000     SP( 42)        0.000000  
    S( 43)        12.00000     SP( 43)        0.000000  
    S( 44)        10.00000     SP( 44)        3.000000  
    S( 45)        11.00000     SP( 45)        6.000000  
    S( 46)        15.00000     SP( 46)        0.000000  
    S( 47)        12.00000     SP( 47)        0.000000  
    S( 48)        10.00000     SP( 48)        8.000000  
    S( 49)        16.00000     SP( 49)        13.00000  
    S( 50)        26.00000     SP( 50)        0.000000  
    S( 51)        21.00000     SP( 51)        6.000000  
    S( 52)        23.00000     SP( 52)        18.00000  
    S( 53)        36.00000     SP( 53)        21.00000  
    S( 54)        50.00000     SP( 54)        5.000000  
    S( 55)        45.00000     SP( 55)        9.000000  
    S( 56)        45.00000     SP( 56)        13.00000  
    S( 57)        49.00000     SP( 57)        18.00000  
    S( 58)        57.00000     SP( 58)        0.000000  
    S( 59)        46.00000     SP( 59)        3.000000  
    S( 60)        40.00000     SP( 60)        12.00000  
    S( 61)        44.00000     SP( 61)        17.00000  
    S( 62)        52.00000     SP( 62)        1.000000  
    S( 63)        43.00000     SP( 63)        8.000000  
    S( 64)        42.00000     SP( 64)        11.00000  
    S( 65)        45.00000     SP( 65)        16.00000  
    S( 66)        52.00000     SP( 66)        0.000000  
    S( 67)        42.00000     SP( 67)        5.000000  
    S( 68)        39.00000     SP( 68)        10.00000  
    S( 69)        41.00000     SP( 69)        15.00000  
    S( 70)        48.00000     SP( 70)        0.000000  
    S( 71)        38.00000     SP( 71)        3.000000  
    S( 72)        34.00000     SP( 72)        8.000000  
    S( 73)        35.00000     SP( 73)        14.00000  
    S( 74)        42.00000     SP( 74)        0.000000  
    S( 75)        34.00000     SP( 75)        9.000000  
    S( 76)        36.00000     SP( 76)        14.00000  
    S( 77)        43.00000     SP( 77)        21.00000  
    S( 78)        55.00000     SP( 78)        4.000000  
    S( 79)        48.00000     SP( 79)        16.00000  
    S( 80)        54.00000     SP( 80)        22.00000  
    S( 81)        65.00000     SP( 81)        28.00000  
    S( 82)        80.00000     SP( 82)        6.000000  
    S( 83)        70.00000     SP( 83)        18.00000  
    S( 84)        74.00000     SP( 84)        26.00000  
    S( 85)        85.00000     SP( 85)        33.00000  
    S( 86)        101.0000     SP( 86)        8.000000  
    S( 87)        89.00000     SP( 87)        17.00000  
    S( 88)        88.00000     SP( 88)        20.00000  
    S( 89)        90.00000     SP( 89)        28.00000  
    S( 90)        100.0000     SP( 90)        7.000000  
    S( 91)        87.00000     SP( 91)        18.00000  
    S( 92)        88.00000     SP( 92)        19.00000  
    S( 93)        89.00000     SP( 93)        33.00000  
    S( 94)        104.0000     SP( 94)        6.000000  
    S( 95)        89.00000     SP( 95)        18.00000  
    S( 96)        89.00000     SP( 96)        19.00000  
    S( 97)        90.00000     SP( 97)        34.00000  
    S( 98)        106.0000     SP( 98)        11.00000  
    S( 99)        96.00000     SP( 99)        17.00000  
   S( 100)        94.00000    SP( 100)        24.00000  
   S( 101)        99.00000    SP( 101)        30.00000  
   S( 102)        109.0000    SP( 102)        12.00000  
   S( 103)        99.00000    SP( 103)        17.00000  
   S( 104)        96.00000    SP( 104)        25.00000  
   S( 105)        102.0000    SP( 105)        0.000000  
     H( 1)        50.00000      HP( 1)        0.000000  
     H( 2)        50.00000      HP( 2)        22.00000  
     H( 3)        64.00000      HP( 3)        0.000000  
     H( 4)        60.00000      HP( 4)        0.000000  
     H( 5)        56.00000      HP( 5)        41.00000  
     H( 6)        93.00000      HP( 6)        7.000000  
     H( 7)        88.00000      HP( 7)        0.000000  
     H( 8)        84.00000      HP( 8)        0.000000  
     H( 9)        80.00000      HP( 9)        5.000000  
    H( 10)        81.00000     HP( 10)        7.000000  
    H( 11)        76.00000     HP( 11)        0.000000  
    H( 12)        72.00000     HP( 12)        0.000000  
    H( 13)        68.00000     HP( 13)        12.00000  
    H( 14)        76.00000     HP( 14)        0.000000  
    H( 15)        68.00000     HP( 15)        0.000000  
    H( 16)        64.00000     HP( 16)        0.000000  
    H( 17)        60.00000     HP( 17)        5.000000  
    H( 18)        61.00000     HP( 18)        3.000000  
    H( 19)        56.00000     HP( 19)        0.000000  
    H( 20)        52.00000     HP( 20)        26.00000  
    H( 21)        74.00000     HP( 21)        100.0000  
    H( 22)        166.0000     HP( 22)        58.00000  
    H( 23)        200.0000     HP( 23)        0.000000  
    H( 24)        184.0000     HP( 24)        0.000000  
    H( 25)        172.0000     HP( 25)        32.00000  
    H( 26)        188.0000     HP( 26)        0.000000  
    H( 27)        168.0000     HP( 27)        0.000000  
    H( 28)        156.0000     HP( 28)        0.000000  
    H( 29)        148.0000     HP( 29)        0.000000  
    H( 30)        140.0000     HP( 30)        0.000000  
    H( 31)        128.0000     HP( 31)        0.000000  
    H( 32)        124.0000     HP( 32)        0.000000  
    H( 33)        120.0000     HP( 33)        0.000000  
    H( 34)        116.0000     HP( 34)        0.000000  
    H( 35)        108.0000     HP( 35)        0.000000  
    H( 36)        104.0000     HP( 36)        0.000000  
    H( 37)        100.0000     HP( 37)        0.000000  
    H( 38)        96.00000     HP( 38)        0.000000  
    H( 39)        88.00000     HP( 39)        0.000000  
    H( 40)        84.00000     HP( 40)        0.000000  
    H( 41)        80.00000     HP( 41)        30.00000  
    H( 42)        102.0000     HP( 42)        10.00000  
    H( 43)        100.0000     HP( 43)        0.000000  
    H( 44)        92.00000     HP( 44)        0.000000  
    H( 45)        84.00000     HP( 45)        29.00000  
    H( 46)        105.0000     HP( 46)        7.000000  
    H( 47)        100.0000     HP( 47)        0.000000  
    H( 48)        92.00000     HP( 48)        28.00000  
    H( 49)        112.0000     HP( 49)        72.00000  
    H( 50)        172.0000     HP( 50)        39.00000  
    H( 51)        191.0000     HP( 51)        10.00000  
    H( 52)        185.0000     HP( 52)        85.00000  
    H( 53)        250.0000     HP( 53)        130.0000  
    H( 54)        352.0000     HP( 54)        70.00000  
    H( 55)        382.0000     HP( 55)        20.00000  
    H( 56)        366.0000     HP( 56)        56.00000  
    H( 57)        386.0000     HP( 57)        80.00000  
    H( 58)        426.0000     HP( 58)        18.00000  
    H( 59)        400.0000     HP( 59)        0.000000  
    H( 60)        364.0000     HP( 60)        12.00000  
    H( 61)        344.0000     HP( 61)        80.00000  
    H( 62)        388.0000     HP( 62)        33.00000  
    H( 63)        381.0000     HP( 63)        0.000000  
    H( 64)        345.0000     HP( 64)        44.00000  
    H( 65)        357.0000     HP( 65)        70.00000  
    H( 66)        391.0000     HP( 66)        21.00000  
    H( 67)        372.0000     HP( 67)        0.000000  
    H( 68)        340.0000     HP( 68)        19.00000  
    H( 69)        327.0000     HP( 69)        63.00000  
    H( 70)        358.0000     HP( 70)        14.00000  
    H( 71)        332.0000     HP( 71)        0.000000  
    H( 72)        304.0000     HP( 72)        6.000000  
    H( 73)        282.0000     HP( 73)        57.00000  
    H( 74)        311.0000     HP( 74)        26.00000  
    H( 75)        305.0000     HP( 75)        10.00000  
    H( 76)        287.0000     HP( 76)        68.00000  
    H( 77)        327.0000     HP( 77)        108.0000  
    H( 78)        399.0000     HP( 78)        62.00000  
    H( 79)        417.0000     HP( 79)        43.00000  
    H( 80)        420.0000     HP( 80)        115.0000  
    H( 81)        491.0000     HP( 81)        150.0000  
    H( 82)        589.0000     HP( 82)        80.00000  
    H( 83)        605.0000     HP( 83)        40.00000  
    H( 84)        589.0000     HP( 84)        124.0000  
    H( 85)        653.0000     HP( 85)        168.0000  
    H( 86)        753.0000     HP( 86)        90.00000  
    H( 87)        763.0000     HP( 87)        25.00000  
    H( 88)        716.0000     HP( 88)        80.00000  
    H( 89)        724.0000     HP( 89)        115.0000  
    H( 90)        767.0000     HP( 90)        64.00000  
    H( 91)        751.0000     HP( 91)        26.00000  
    H( 92)        709.0000     HP( 92)        85.00000  
    H( 93)        722.0000     HP( 93)        130.0000  
    H( 94)        780.0000     HP( 94)        78.00000  
    H( 95)        774.0000     HP( 95)        20.00000  
    H( 96)        722.0000     HP( 96)        80.00000  
    H( 97)        730.0000     HP( 97)        138.0000  
    H( 98)        796.0000     HP( 98)        100.0000  
    H( 99)        812.0000     HP( 99)        34.00000  
   H( 100)        770.0000    HP( 100)        92.00000  
   H( 101)        786.0000    HP( 101)        135.0000  
   H( 102)        841.0000    HP( 102)        83.00000  
   H( 103)        836.0000    HP( 103)        32.00000  
   H( 104)        788.0000    HP( 104)        80.00000  
   H( 105)        792.0000    HP( 105)        0.000000  

    SM( 1)        13.00000      SU( 1)        0.000000  
    SM( 2)        2.000000      SU( 2)        11.00000  
    SM( 3)        6.000000      SU( 3)        5.000000  
    SM( 4)        6.000000      SU( 4)        4.000000  
    SM( 5)        2.000000      SU( 5)        7.000000  
    SM( 6)        0.000000      SU( 6)        16.00000  
    SM( 7)        7.000000      SU( 7)        6.000000  
    SM( 8)        7.000000      SU( 8)        5.000000  
    SM( 9)        4.000000      SU( 9)        7.000000  
   SM( 10)        0.000000     SU( 10)        13.00000  
   SM( 11)        4.000000     SU( 11)        6.000000  
   SM( 12)        4.000000     SU( 12)        5.000000  
   SM( 13)        1.000000     SU( 13)        7.000000  
   SM( 14)        0.000000     SU( 14)        12.00000  
   SM( 15)        5.000000     SU( 15)        5.000000  
   SM( 16)        5.000000     SU( 16)        4.000000  
   SM( 17)        2.000000     SU( 17)        6.000000  
   SM( 18)        0.000000     SU( 18)        9.000000  
   SM( 19)        2.000000     SU( 19)        5.000000  
   SM( 20)        1.000000     SU( 20)        5.000000  
   SM( 21)        0.000000     SU( 21)        11.00000  
   SM( 22)        0.000000     SU( 22)        29.00000  
   SM( 23)        2.000000     SU( 23)        21.00000  
   SM( 24)        2.000000     SU( 24)        17.00000  
   SM( 25)        0.000000     SU( 25)        20.00000  
   SM( 26)        0.000000     SU( 26)        27.00000  
   SM( 27)        9.000000     SU( 27)        13.00000  
   SM( 28)        10.00000     SU( 28)        9.000000  
   SM( 29)        7.000000     SU( 29)        10.00000  
   SM( 30)        0.000000     SU( 30)        16.00000  
   SM( 31)        7.000000     SU( 31)        6.000000  
   SM( 32)        7.000000     SU( 32)        5.000000  
   SM( 33)        4.000000     SU( 33)        7.000000  
   SM( 34)        0.000000     SU( 34)        11.00000  
   SM( 35)        4.000000     SU( 35)        5.000000  
   SM( 36)        3.000000     SU( 36)        5.000000  
   SM( 37)        1.000000     SU( 37)        6.000000  
   SM( 38)        0.000000     SU( 38)        12.00000  
   SM( 39)        3.000000     SU( 39)        7.000000  
   SM( 40)        2.000000     SU( 40)        7.000000  
   SM( 41)        0.000000     SU( 41)        10.00000  
   SM( 42)        0.000000     SU( 42)        15.00000  
   SM( 43)        2.000000     SU( 43)        10.00000  
   SM( 44)        1.000000     SU( 44)        9.000000  
   SM( 45)        0.000000     SU( 45)        11.00000  
   SM( 46)        0.000000     SU( 46)        15.00000  
   SM( 47)        2.000000     SU( 47)        10.00000  
   SM( 48)        0.000000     SU( 48)        10.00000  
   SM( 49)        0.000000     SU( 49)        16.00000  
   SM( 50)        0.000000     SU( 50)        26.00000  
   SM( 51)        0.000000     SU( 51)        21.00000  
   SM( 52)        0.000000     SU( 52)        23.00000  
   SM( 53)        0.000000     SU( 53)        36.00000  
   SM( 54)        0.000000     SU( 54)        50.00000  
   SM( 55)        0.000000     SU( 55)        45.00000  
   SM( 56)        0.000000     SU( 56)        45.00000  
   SM( 57)        0.000000     SU( 57)        49.00000  
   SM( 58)        0.000000     SU( 58)        57.00000  
   SM( 59)        3.000000     SU( 59)        43.00000  
   SM( 60)        0.000000     SU( 60)        40.00000  
   SM( 61)        0.000000     SU( 61)        44.00000  
   SM( 62)        0.000000     SU( 62)        52.00000  
   SM( 63)        0.000000     SU( 63)        43.00000  
   SM( 64)        0.000000     SU( 64)        42.00000  
   SM( 65)        0.000000     SU( 65)        45.00000  
   SM( 66)        0.000000     SU( 66)        52.00000  
   SM( 67)        1.000000     SU( 67)        41.00000  
   SM( 68)        0.000000     SU( 68)        39.00000  
   SM( 69)        0.000000     SU( 69)        41.00000  
   SM( 70)        0.000000     SU( 70)        48.00000  
   SM( 71)        3.000000     SU( 71)        35.00000  
   SM( 72)        0.000000     SU( 72)        34.00000  
   SM( 73)        0.000000     SU( 73)        35.00000  
   SM( 74)        0.000000     SU( 74)        42.00000  
   SM( 75)        0.000000     SU( 75)        34.00000  
   SM( 76)        0.000000     SU( 76)        36.00000  
   SM( 77)        0.000000     SU( 77)        43.00000  
   SM( 78)        0.000000     SU( 78)        55.00000  
   SM( 79)        0.000000     SU( 79)        48.00000  
   SM( 80)        0.000000     SU( 80)        54.00000  
   SM( 81)        0.000000     SU( 81)        65.00000  
   SM( 82)        0.000000     SU( 82)        80.00000  
   SM( 83)        0.000000     SU( 83)        70.00000  
   SM( 84)        0.000000     SU( 84)        74.00000  
   SM( 85)        0.000000     SU( 85)        85.00000  
   SM( 86)        0.000000     SU( 86)        101.0000  
   SM( 87)        0.000000     SU( 87)        89.00000  
   SM( 88)        0.000000     SU( 88)        88.00000  
   SM( 89)        0.000000     SU( 89)        90.00000  
   SM( 90)        0.000000     SU( 90)        100.0000  
   SM( 91)        0.000000     SU( 91)        87.00000  
   SM( 92)        0.000000     SU( 92)        88.00000  
   SM( 93)        0.000000     SU( 93)        89.00000  
   SM( 94)        0.000000     SU( 94)        104.0000  
   SM( 95)        0.000000     SU( 95)        89.00000  
   SM( 96)        0.000000     SU( 96)        89.00000  
   SM( 97)        0.000000     SU( 97)        90.00000  
   SM( 98)        0.000000     SU( 98)        106.0000  
   SM( 99)        0.000000     SU( 99)        96.00000  
  SM( 100)        0.000000    SU( 100)        94.00000  
  SM( 101)        0.000000    SU( 101)        99.00000  
  SM( 102)        0.000000    SU( 102)        109.0000  
  SM( 103)        0.000000    SU( 103)        99.00000  
  SM( 104)        0.000000    SU( 104)        96.00000  
  SM( 105)        0.000000    SU( 105)        102.0000  
    HM( 1)        50.00000      HU( 1)        0.000000  
    HM( 2)        3.000000      HU( 2)        44.00000  
