Local optimal solution found.
Objective value:         421435.0
Objective bound:         421435.0
Infeasibilities:         0.000000
Extended solver steps:       1467
Total solver iterations:   357392
Elapsed runtime seconds:    24.80

Model Class:                PINLP

Total variables:             831
Nonlinear variables:         208
Integer variables:           831

Total constraints:           728
Nonlinear constraints:       104

Total nonzeros:             2175
Nonlinear nonzeros:          208


  Variable   Value   Variable   Value 
     S( 1)  13.0000    SM( 1)  13.0000
     S( 2)  13.0000    SM( 2)  2.00000
     S( 3)  12.0000    SM( 3)  7.00000
     S( 4)  11.0000    SM( 4)  7.00000
     S( 5)  17.0000    SM( 5)  10.0000
     S( 6)  16.0000    SM( 6)  0.00000
     S( 7)  14.0000    SM( 7)  8.00000
     S( 8)  13.0000    SM( 8)  8.00000
     S( 9)  12.0000    SM( 9)  5.00000
    S( 10)  13.0000   SM( 10)  0.00000
    S( 11)  12.0000   SM( 11)  6.00000
    S( 12)  11.0000   SM( 12)  6.00000
    S( 13)  10.0000   SM( 13)  3.00000
    S( 14)  12.0000   SM( 14)  0.00000
    S( 15)  11.0000   SM( 15)  6.00000
    S( 16)  10.0000   SM( 16)  6.00000
    S( 17)  10.0000   SM( 17)  4.00000
    S( 18)  9.00000   SM( 18)  0.00000
    S( 19)  8.00000   SM( 19)  3.00000
    S( 20)  31.0000   SM( 20)  26.0000
    S( 21)  30.0000   SM( 21)  19.0000
    S( 22)  29.0000   SM( 22)  0.00000
    S( 23)  26.0000   SM( 23)  5.00000
    S( 24)  31.0000   SM( 24)  14.0000
    S( 25)  29.0000   SM( 25)  9.00000
    S( 26)  27.0000   SM( 26)  0.00000
    S( 27)  24.0000   SM( 27)  11.0000
    S( 28)  23.0000   SM( 28)  14.0000
    S( 29)  22.0000   SM( 29)  12.0000
    S( 30)  21.0000   SM( 30)  5.00000
    S( 31)  19.0000   SM( 31)  13.0000
    S( 32)  18.0000   SM( 32)  13.0000
    S( 33)  17.0000   SM( 33)  10.0000
    S( 34)  16.0000   SM( 34)  5.00000
    S( 35)  15.0000   SM( 35)  10.0000
    S( 36)  14.0000   SM( 36)  9.00000
    S( 37)  13.0000   SM( 37)  7.00000
